Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
AACB,Artius II Acquisition Inc,Financial,Shell Companies,USA,297820000.0,,10.13,0.002,1103515.0
AARD,Aardvark Therapeutics Inc,Healthcare,Biotechnology,USA,239960000.0,,11.06,-0.0204,14332.0
ABAT,American Battery Technology Company,Basic Materials,Other Industrial Metals & Mining,USA,126760000.0,,1.37,0.0,463566.0
ABLV,Able View Global Inc,Communication Services,Advertising Agencies,China,53340000.0,,1.08,-0.122,28786.0
ABOS,Acumen Pharmaceuticals Inc,Healthcare,Biotechnology,USA,69050000.0,,1.14,0.0,171702.0
ABVE,Above Food Ingredients Inc,Consumer Defensive,Packaged Foods,Canada,59390000.0,,1.16,0.0265,353879.0
ACET,Adicet Bio Inc,Healthcare,Biotechnology,USA,64500000.0,,0.78,-0.0062,245946.0
ACHV,Achieve Life Sciences Inc,Healthcare,Biotechnology,Canada,115160000.0,,3.32,-0.07,322584.0
ACIU,AC Immune SA,Healthcare,Biotechnology,Switzerland,204810000.0,,2.07,-0.0236,67532.0
ACNT,Ascent Industries Co,Basic Materials,Steel,USA,134000000.0,,12.75,-0.0154,66884.0
ACOG,Alpha Cognition Inc,Healthcare,Biotechnology,Canada,153870000.0,,9.6,0.0005,67134.0
ACR,ACRES Commercial Realty Corp,Real Estate,REIT - Mortgage,USA,133610000.00000001,62.44,18.07,0.0,26312.0
ACRE,Ares Commercial Real Estate Corp,Real Estate,REIT - Mortgage,USA,278880000.0,,5.07,0.004,327678.0
ACRS,Aclaris Therapeutics Inc,Healthcare,Biotechnology,USA,165670000.0,,1.53,-0.0255,420503.0
ACTU,Actuate Therapeutics Inc,Healthcare,Biotechnology,USA,168930000.0,,8.61,-0.0069,59526.0
ACU,Acme United Corp,Consumer Defensive,Household & Personal Products,USA,146470000.0,15.77,38.64,-0.024,8690.0
ACV,Virtus Diversified Income & Convertible Fund,Financial,Closed-End Fund - Equity,USA,229680000.0,4.79,22.14,-0.0076,16359.0
ADAG,Adagene Inc ADR,Healthcare,Biotechnology,China,92340000.0,,1.96,-0.0101,51055.0
ADAP,Adaptimmune Therapeutics Plc ADR,Healthcare,Biotechnology,United Kingdom,63410000.0,,0.25,-0.0966,1742984.0
ADUR,Aduro Clean Technologies Inc,Industrials,Pollution & Treatment Controls,Canada,256579999.99999997,,8.76,0.0644,413763.0
ADVM,Adverum Biotechnologies Inc,Healthcare,Biotechnology,USA,54110000.0,,2.59,0.0,132575.0
AEF,abrdn Emerging Markets ex-China Fund Inc,Financial,Closed-End Fund - Equity,USA,235080000.0,14.85,5.79,0.0017000000000000001,58231.0
AENT,Alliance Entertainment Holding Corporation,Communication Services,Entertainment,USA,164080000.0,13.88,3.22,-0.0213,6205.0
AEYE,AudioEye Inc,Technology,Software - Application,USA,150380000.0,,12.07,-0.0131,66367.0
AFB,AllianceBernstein National Municipal Income Fund Inc,Financial,Closed-End Fund - Debt,USA,293770000.0,4.8,10.22,0.0039000000000000003,51476.0
AFBI,Affinity Bancshares Inc,Financial,Banks - Regional,USA,115140000.0,20.21,18.23,-0.0016,1287.0
AFCG,Advanced Flower Capital Inc,Real Estate,REIT - Mortgage,USA,129020000.00000001,5.79,5.71,0.016,102077.0
AFJK,Aimei Health Technology Co Ltd,Financial,Shell Companies,USA,67970000.0,49.49,11.11,0.0,0.0
AFRI,Forafric Global PLC,Consumer Defensive,Farm Products,United Kingdom,209020000.0,,7.77,-0.0038,15078.0
AGAE,Allied Gaming & Entertainment Inc,Communication Services,Entertainment,USA,134960000.0,,3.55,0.25,448010.0
AGD,abrdn Global Dynamic Dividend Fund,Financial,Closed-End Fund - Foreign,USA,263820000.0,,10.61,0.0124,170159.0
AGEN,Agenus Inc,Healthcare,Biotechnology,USA,132150000.0,,4.82,-0.0659,687565.0
AIFE,Aifeex Nexus Acquisition Corp,Financial,Shell Companies,USA,111840000.0,195.0,10.14,-0.0025,197.0
AIRJ,AirJoule Technologies Corp,Industrials,Building Products & Equipment,USA,269860000.0,5.24,4.48,0.009000000000000001,126477.0
AIRT,Air T Inc,Industrials,Conglomerates,USA,54570000.0,,19.99,0.0894,20.0
AISP,Airship AI Holdings Inc,Technology,Software - Infrastructure,USA,156350000.0,,4.91,-0.016,650265.0
AKA,a.k.a. Brands Holding Corp,Consumer Cyclical,Apparel Retail,USA,134690000.0,,12.57,-0.0338,14038.0
AKYA,Akoya Biosciences Inc,Healthcare,Medical Instruments & Supplies,USA,62850000.0,,1.26,-0.0455,104113.0
ALAR,Alarum Technologies Ltd ADR,Technology,Software - Infrastructure,Israel,78270000.0,16.17,11.15,-0.0009,174131.0
ALCO,Alico Inc,Consumer Defensive,Farm Products,USA,241040000.0,,31.54,0.0102,43196.0
ALCY,Alchemy Investments Acquisition Corp 1,Financial,Shell Companies,USA,52240000.0,87.1,11.55,0.0,0.0
ALDX,Aldeyra Therapeutics Inc,Healthcare,Biotechnology,USA,175490000.0,,2.93,-0.0101,744357.0
ALEC,Alector Inc,Healthcare,Biotechnology,USA,161990000.0,,1.62,-0.0060999999999999995,322356.0
ALMU,Aeluma Inc,Technology,Semiconductors,USA,270970000.0,,17.15,-0.044000000000000004,240201.0
ALOT,AstroNova Inc,Technology,Computer Hardware,USA,70560000.0,,9.29,-0.0011,20635.0
ALTG,Alta Equipment Group Inc,Industrials,Rental & Leasing Services,USA,209110000.0,,6.3,0.0064,96700.0
ALTO,Alto Ingredients Inc,Basic Materials,Specialty Chemicals,USA,84940000.0,,1.1,-0.059800000000000006,308434.0
ALTS,ALT5 Sigma Corp,Technology,Software - Application,USA,167040000.0,,9.57,-0.0169,343150.0
AMBI,Ambipar Emergency Response,Industrials,Waste Management,Brazil,266950000.0,,4.72,0.010700000000000001,717.0
AMBR,Amber International Holding Ltd. ADR,Technology,Software - Infrastructure,Singapore,89480000.0,,11.37,0.060599999999999994,182228.0
AMCX,AMC Networks Inc,Communication Services,Entertainment,USA,292250000.0,,6.51,-0.0681,433006.0
AMPY,Amplify Energy Corp,Energy,Oil & Gas E&P,USA,133520000.00000001,8.5,3.31,-0.0907,1347667.0
AMRN,Amarin Corp ADR,Healthcare,Drug Manufacturers - General,Ireland,277230000.0,,13.38,0.0098,123632.0
AMTX,Aemetis Inc,Basic Materials,Specialty Chemicals,USA,105760000.0,,1.91,-0.0052,685555.0
AMWL,American Well Corporation,Healthcare,Health Information Services,USA,113190000.0,,7.16,-0.0028000000000000004,14635.0
ANEB,Anebulo Pharmaceuticals Inc,Healthcare,Biotechnology,USA,52180000.0,,1.27,0.09480000000000001,9666.0
ANIK,Anika Therapeutics Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,161630000.0,,11.27,-0.0034999999999999996,35207.0
ANIX,Anixa Biosciences Inc,Healthcare,Biotechnology,USA,115960000.0,,3.6,0.0542,231231.0
ANNX,Annexon Inc,Healthcare,Biotechnology,USA,297330000.0,,2.71,0.0754,1854044.0
ANRO,Alto Neuroscience Inc,Healthcare,Biotechnology,USA,66330000.0,,2.45,-0.02,163770.0
ANTA,Antalpha Platform Holding Co,Financial,Credit Services,Singapore,286440000.0,54.39,12.4,0.0394,34623.0
ANVS,Annovis Bio Inc,Healthcare,Biotechnology,USA,57290000.0,,2.94,0.05,295621.0
AOMR,Angel Oak Mortgage REIT Inc,Real Estate,REIT - Mortgage,USA,219020000.0,6.2,9.32,0.0108,55479.0
AOUT,American Outdoor Brands Inc,Consumer Cyclical,Leisure,USA,148360000.0,,11.65,-0.0259,30398.0
AP,Ampco-Pittsburgh Corp,Industrials,Metal Fabrication,USA,64300000.0,14.88,3.2,0.028900000000000002,81263.0
API,Agora Inc ADR,Technology,Software - Application,China,285960000.0,,3.84,-0.0352,518846.0
APLT,Applied Therapeutics Inc,Healthcare,Biotechnology,USA,51680000.0,,0.37,-0.0183,848250.0
APT,Alpha Pro Tech Ltd,Industrials,Building Products & Equipment,Canada,50520000.0,13.03,4.65,-0.0106,21183.0
APYX,Apyx Medical Corp,Healthcare,Medical Devices,USA,64819999.99999999,,1.72,-0.0256,17441.0
ARAY,Accuray Inc,Healthcare,Medical Devices,USA,128770000.00000001,211.86,1.25,0.0,1009311.0
ARBE,Arbe Robotics Ltd,Technology,Software - Infrastructure,Israel,170370000.0,,1.62,-0.0471,1643176.0
AREC,American Resources Corporation,Basic Materials,Coking Coal,USA,64250000.0,,0.78,0.09380000000000001,2322799.0
AREN,Arena Group Holdings Inc,Communication Services,Internet Content & Information,USA,226390000.0,85.0,4.76,-0.0124,123319.0
ARL,American Realty Investors Inc,Real Estate,Real Estate Services,USA,225000000.0,,13.93,-0.0231,1782.0
ARMP,Armata Pharmaceuticals Inc,Healthcare,Biotechnology,USA,72750000.0,,2.01,-0.009899999999999999,14989.0
ARQ,Arq Inc,Industrials,Pollution & Treatment Controls,USA,220770000.0,,5.23,-0.0113,135468.0
ASMB,Assembly Biosciences Inc,Healthcare,Biotechnology,USA,130600000.0,,17.1,0.0029,17194.0
ASPC,A SPAC III Acquisition Corp,Financial,Shell Companies,Hong Kong,82190000.0,3403.33,10.21,0.0048,410.0
ASPS,Altisource Portfolio Solutions S.A,Real Estate,Real Estate Services,Luxembourg,101620000.0,,9.14,0.1284,48863.0
ASRT,Assertio Holdings Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,59090000.0,,0.62,-0.0538,533715.0
ASST,Asset Entities Inc,Communication Services,Internet Content & Information,USA,103360000.0,,6.23,-0.056100000000000004,1915371.0
ASUR,Asure Software Inc,Technology,Software - Application,USA,264750000.0,,9.75,-0.008100000000000001,83854.0
ASYS,Amtech Systems Inc,Technology,Semiconductor Equipment & Materials,USA,62410000.0,,4.36,0.0506,55102.0
ATHE,Alterity Therapeutics Ltd ADR,Healthcare,Biotechnology,Australia,69810000.0,,4.59,-0.0171,9976.0
ATHR,Aether Holdings Inc,Technology,Software - Application,USA,161190000.0,,13.32,-0.06849999999999999,41016.0
ATLN,Atlantic International Corp,Industrials,Staffing & Employment Services,USA,145360000.0,,2.49,0.0641,15079.0
ATLO,Ames National Corp,Financial,Banks - Regional,USA,159500000.0,14.11,17.89,0.021099999999999997,8127.0
ATLX,Atlas Lithium Corporation,Basic Materials,Other Industrial Metals & Mining,Brazil,75450000.0,,4.23,-0.0253,151006.0
ATNI,ATN International Inc,Communication Services,Telecom Services,USA,247430000.0,,16.26,-0.0012,43171.0
ATOM,Atomera Inc,Technology,Semiconductor Equipment & Materials,USA,177780000.0,,5.79,-0.0736,490587.0
ATOS,Atossa Therapeutics Inc,Healthcare,Biotechnology,USA,111450000.0,,0.86,-0.0173,701073.0
ATPC,Agape ATP Corp,Consumer Defensive,Packaged Foods,Malaysia,76510000.0,,1.53,-0.0129,19857.0
ATRA,Atara Biotherapeutics Inc,Healthcare,Biotechnology,USA,59190000.0,,8.71,-0.022400000000000003,43131.0
AUBN,Auburn National Bancorp Inc,Financial,Banks - Regional,USA,77910000.0,11.88,22.3,0.0166,712.0
AUDC,Audiocodes,Technology,Communication Equipment,Israel,268890000.0,16.07,9.06,-0.0184,33173.0
AUID,authID Inc,Technology,Software - Infrastructure,USA,64129999.99999999,,4.77,-0.0364,249166.0
AVD,American Vanguard Corp,Basic Materials,Agricultural Inputs,USA,157070000.0,,4.52,-0.0195,131366.0
AVIR,Atea Pharmaceuticals Inc,Healthcare,Biotechnology,USA,274710000.0,,3.21,0.011000000000000001,402256.0
AVNW,Aviat Networks Inc,Technology,Communication Equipment,USA,291040000.0,,22.93,0.0060999999999999995,55013.0
AVR,Anteris Technologies Global Corp,Healthcare,Medical Instruments & Supplies,USA,175610000.0,,4.87,-0.048799999999999996,210431.0
AVTX,Avalo Therapeutics Inc,Healthcare,Biotechnology,USA,52840000.0,,4.88,0.0361,46907.0
AXR,AMREP Corp,Real Estate,Real Estate - Development,USA,116320000.0,9.09,22.0,0.021400000000000002,18445.0
AXTI,AXT Inc,Technology,Semiconductor Equipment & Materials,USA,107170000.0,,2.35,0.1869,6755438.0
BAER,Bridger Aerospace Group Holdings Inc,Industrials,Security & Protection Services,USA,100720000.0,,1.84,-0.0265,137102.0
BAFN,BayFirst Financial Corp,Financial,Banks - Regional,USA,61930000.0,6.71,15.0,0.0067,5370.0
BANX,ArrowMark Financial Corp,Financial,Closed-End Fund - Debt,USA,145030000.0,8.67,20.37,0.002,8614.0
BARK,BARK Inc,Consumer Cyclical,Specialty Retail,USA,148130000.0,,0.87,0.0172,1480267.0
BAYA,Bayview Acquisition Corp,Financial,Shell Companies,USA,59120000.0,62.26,10.92,-0.01,110.0
BCBP,BCB Bancorp Inc (NJ),Financial,Banks - Regional,USA,134039999.99999999,51.69,7.81,-0.0076,75169.0
BCML,BayCom Corp,Financial,Banks - Regional,USA,297080000.0,12.86,26.99,-0.0189,18262.0
BCV,Bancroft Fund Ltd,Financial,Closed-End Fund - Debt,USA,109090000.0,8.38,18.61,-0.0032,4513.0
BDL,"Flanigan's Enterprises, Inc",Consumer Cyclical,Restaurants,USA,57710000.0,14.25,31.05,-0.050199999999999995,2182.0
BDMD,Baird Medical Investment Holdings Limited,Healthcare,Medical Devices,China,153990000.0,,4.31,-0.0092,92311.0
BDTX,Black Diamond Therapeutics Inc,Healthcare,Biotechnology,USA,138170000.0,39.38,2.43,0.0253,1069265.0
BEAT,HeartBeam Inc,Healthcare,Health Information Services,USA,51730000.0,,1.53,-0.0192,60033.0
BEEP,Mobile Infrastructure Corp,Industrials,Infrastructure Operations,USA,162390000.0,,3.83,-0.0613,31762.0
BETR,Better Home & Finance Holding Co,Financial,Mortgage Finance,USA,212710000.0,,13.99,0.0152,106265.0
BFIN,Bankfinancial Corp,Financial,Banks - Regional,USA,144920000.0,32.61,11.63,-0.0161,23662.0
BGX,Blackstone Long-Short Credit Income Fund,Financial,Closed-End Fund - Debt,USA,155930000.0,9.51,12.27,0.0066,76246.0
BHM,Bluerock Homes Trust Inc,Real Estate,REIT - Residential,USA,50970000.0,,12.52,-0.0124,1891.0
BHR,Braemar Hotels & Resorts Inc,Real Estate,REIT - Hotel & Motel,USA,166950000.0,,2.49,-0.0158,141424.0
BHST,BioHarvest Sciences Inc,Consumer Defensive,Packaged Foods,Canada,132770000.00000001,,7.66,0.0525,6898.0
BIOA,BioAge Labs Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,160960000.0,,4.49,0.0113,147610.0
BIOX,Bioceres Crop Solutions Corp,Basic Materials,Agricultural Inputs,Argentina,280950000.0,,4.48,-0.0345,53770.0
BIRD,Allbirds Inc,Consumer Cyclical,Apparel Retail,USA,95240000.0,,11.82,0.12140000000000001,170262.0
BKHA,Black Hawk Acquisition Corp,Financial,Shell Companies,USA,94790000.0,36.39,10.61,-0.0023,208.0
BKKT,Bakkt Holdings Inc,Technology,Software - Infrastructure,USA,180710000.0,,12.99,-0.0144,200934.0
BKN,BlackRock Investment Quality Municipal Trust,Financial,Closed-End Fund - Debt,USA,186510000.0,51.62,10.84,0.006500000000000001,39092.0
BKT,BlackRock Income Trust Inc,Financial,Closed-End Fund - Debt,USA,283240000.0,83.29,11.66,0.0113,77724.0
BKTI,BK Technologies Corp,Technology,Communication Equipment,USA,157450000.0,16.67,42.86,0.0101,22747.0
BLFY,Blue Foundry Bancorp,Financial,Banks - Regional,USA,192880000.0,,8.88,-0.0078000000000000005,19204.0
BLNK,Blink Charging Co,Industrials,Engineering & Construction,USA,94590000.0,,0.92,-0.009399999999999999,1897833.0
BLUWU,Blue Water Acquisition Corp III,Financial,Shell Companies,USA,226430000.0,,10.01,0.001,1110622.0
