Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
AACT,Ares Acquisition Corporation II,Financial,Shell Companies,USA,699630000.0,31.29,11.31,-0.0009,427693.0
AAM,AA Mission Acquisition Corp,Financial,Shell Companies,USA,546980000.0,49.45,10.4,-0.0001,1064.0
AAMI,Acadian Asset Management Inc,Financial,Asset Management,USA,1140000000.0,13.21,31.74,0.006,163189.0
AAOI,Applied Optoelectronics Inc,Technology,Communication Equipment,USA,949870000.0,,16.92,0.0368,18426391.0
AAT,American Assets Trust Inc,Real Estate,REIT - Diversified,USA,1250000000.0,15.47,20.49,0.0084,283637.0
AAUC,Allied Gold Corp,Basic Materials,Gold,Canada,1710000000.0,,14.8,0.0379,92363.0
ABCL,AbCellera Biologics Inc,Healthcare,Biotechnology,Canada,940230000.0,,3.15,-0.0248,8004334.0
ABEO,Abeona Therapeutics Inc,Healthcare,Biotechnology,USA,319470000.0,,6.24,0.004,547897.0
ABL,Abacus Global Management Inc,Financial,Insurance - Life,USA,558400000.0,,5.84,-0.0473,2002384.0
ABSI,Absci Corp,Healthcare,Biotechnology,USA,362270000.0,,2.84,-0.0565,2754222.0
ABUS,Arbutus Biopharma Corp,Healthcare,Biotechnology,USA,685660000.0,,3.58,0.0229,541714.0
ABVX,Abivax ADR,Healthcare,Biotechnology,France,445350000.0,,7.02,-0.053899999999999997,97905.0
AC,Associated Capital Group Inc,Financial,Asset Management,USA,797120000.0,21.0,37.71,-0.0024,2378.0
ACB,Aurora Cannabis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,334220000.0,38.64,6.09,0.0083,581156.0
ACCO,Acco Brands Corporation,Industrials,Business Equipment & Supplies,USA,335170000.0,,3.72,-0.013300000000000001,660625.0
ACDC,ProFrac Holding Corp,Energy,Oil & Gas Equipment & Services,USA,1450000000.0,,9.06,-0.0493,760891.0
ACEL,Accel Entertainment Inc,Consumer Cyclical,Gambling,USA,990300000.0,23.62,11.7,0.0069,230635.0
ACIC,American Coastal Insurance Corp,Financial,Insurance - Property & Casualty,USA,514970000.0,7.03,10.65,-0.0009,177409.0
